,Name,Location,Date,Price,Event
1,KiNK [LIVE] + Vault DJs at Monroes,Monroes - Galway,Nov 28 @ 10:30 PM ,EUR16.00 - EUR18.00,https://monroes.ie/events/10078155/KiNK+%5BLIVE%5D+%2B+Vault+DJs+at+Monroes
2,Hollaback - nothin but noughties,Monroes - Galway,Nov 30 @ 09:00 PM ,€13 + BF,https://monroes.ie/events/9880525/Hollaback+-+nothin+but+noughties
3,Amazing George Michael Tribute,Monroes - Galway,Dec 6 @ 09:00 PM ,€18 + BF,https://monroes.ie/events/9980825/Amazing+George+Michael+Tribute
4,The Blizzards - The Last Great Algorithm Tour,Monroes - Galway,Dec 7 @ 09:00 PM ,€20 + BF,https://monroes.ie/events/9844455/The+Blizzards+-+The+Last+Great+Algorithm+Tour
5,Mark Geary + The Strawhall House Band,Monroes - Galway,Dec 12 @ 08:00 PM ,€13 + BF,https://monroes.ie/events/9995335/Mark+Geary+%2B+The+Strawhall+House+Band
6,Choons,Monroes - Galway,Dec 13 @ 10:00 PM ,EUR13.00,https://monroes.ie/events/10089085/Choons
7,ABBA Sensations,Monroes - Galway,Dec 20 @ 09:00 PM ,€13 + BF,https://monroes.ie/events/9981245/ABBA+Sensations
8,KILA,Monroes - Galway,Dec 23 @ 09:00 PM ,€20 + BF,https://monroes.ie/events/9880505/KILA
9,Sharon Shannon & Band with Special Guests,Monroes - Galway,Dec 29 @ 08:00 PM ,EUR30.00,https://monroes.ie/events/10063655/Sharon+Shannon+%26+Band+with+Special+Guests
10,Annual Phil Lynott Remembrance Gig,Monroes - Galway,Jan 10 @ 10:00 PM ,EUR10.00,https://monroes.ie/events/10174005/Annual+Phil+Lynott+Remembrance+Gig
11,ÍMAR,Monroes - Galway,Feb 27 @ 08:00 PM ,€12 + BF,https://monroes.ie/events/9878595/%C3%8DMAR
